12. How easily can you read and write?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
It's very easy for me to read and write,0.9130434782608695,1.0,0.9859154929577465,1.0
I cannot read or write,0.057971014492753624,,0.007042253521126761,
I can read and write but sometimes I struggle,0.021739130434782608,,,
I can read but I cannot write,0.007246376811594203,,0.007042253521126761,
