6. What kind of mobile phones do you use?,Female,Male
Itel,58,80
Tecno,39,71
Vodafone,1,11
Nokia,4,6
Samsung,1,9
Other,2,5
Huawei,2,3
Halotel,1,2
Lumitel,1,2
Motorola,2,
