5. What mobile network do you use?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
Vodacom,0.5147679324894515,0.25,0.4854014598540146,0.45714285714285713
Halotel,0.2320675105485232,0.25,0.21897810218978103,0.2
Airtel,0.20253164556962025,0.25,0.2116788321167883,0.22857142857142856
Tigo,0.05063291139240506,0.25,0.08394160583941605,0.11428571428571428
