"11. Do you use your mobile to send or receive money, through?",A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
"Yes, often",0.4583333333333333,0.7897727272727273,0.4791666666666667,1.0,1.0
I never use mobile money,0.3194444444444444,0.11931818181818182,0.375,,
Only sometimes,0.2222222222222222,0.08522727272727272,0.10416666666666667,,
"I have done it before, but not often",,0.005681818181818182,0.041666666666666664,,
