10. How do you access the internet?,Caregiver,Teacher,Young adult
Using data (airtime) on my phone,0.5368421052631579,0.7796610169491526,0.46107784431137727
I don't access the internet,0.3473684210526316,0.13559322033898305,0.5029940119760479
Using wifi on my phone,0.11578947368421053,0.0847457627118644,0.03592814371257485
