"11. Do you use your mobile to send or receive money, through?","< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
"Yes, often",0.4855072463768116,1.0,0.7943262411347518,0.8888888888888888
I never use mobile money,0.3333333333333333,,0.12056737588652482,
Only sometimes,0.16666666666666666,,0.07801418439716312,0.1111111111111111
"I have done it before, but not often",0.014492753623188406,,0.0070921985815602835,
