14. What is your preferred language for listening to audio content messages?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
Kiswahili,0.7153284671532847,1.0,0.5957446808510638,0.5294117647058824
Kirundi,0.18248175182481752,,0.1276595744680851,0.058823529411764705
French,0.051094890510948905,,0.19858156028368795,0.29411764705882354
English,0.051094890510948905,,0.07801418439716312,0.11764705882352941
