5. What mobile network do you use?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
Vodacom,0.5166666666666667,0.48672566371681414,0.48314606741573035,,0.5
Halotel,0.2,0.23893805309734514,0.20224719101123595,,
Airtel,0.23333333333333334,0.20353982300884957,0.19101123595505617,1.0,0.5
Tigo,0.05,0.07079646017699115,0.12359550561797752,,
