13. What is your preferred language for reading sms messages?,Burundi,Congo
Kiswahili,0.3466666666666667,0.9463087248322147
Kirundi,0.44666666666666666,
English,0.12666666666666668,0.020134228187919462
French,0.08,0.03355704697986577
