14. What is your preferred language for listening to audio content messages?,Caregiver,Teacher,Young adult
Kiswahili,0.5,0.46153846153846156,0.7777777777777778
Kirundi,0.20930232558139536,0.11538461538461539,0.12962962962962962
French,0.23255813953488372,0.23076923076923078,0.05555555555555555
English,0.05813953488372093,0.19230769230769232,0.037037037037037035
