3. How often do you use a mobile phone?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
More than 10 times a day,0.4420289855072464,,0.6950354609929078,0.8888888888888888
A few times a day,0.38405797101449274,,0.14184397163120568,
Once a day,0.15942028985507245,1.0,0.16312056737588654,0.1111111111111111
Once a week,0.007246376811594203,,,
Once every few days,0.007246376811594203,,,
