9. How much do you spend on airtime every week?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
"More than TZS 5,000",,0.09142857142857143,0.041666666666666664,,
"TZS 1,000 - 5,000",0.273972602739726,0.56,0.4791666666666667,,
"Less than TZS 1,000",0.726027397260274,0.3485714285714286,0.4583333333333333,1.0,1.0
I don't ever buy airtime,,,0.020833333333333332,,
