7. What do you use the phone for?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
I make calls,70,171,46,1,1
I send text messages,68,174,43,1,1
I receive text messages,64,173,40,,1
I listen to music,37,142,33,,
I use Facebook,21,99,36,,
I use WhatsApp,10,87,17,,
I use the internet,9,61,15,,
I use Google,4,31,19,,
I play games,4,24,22,,
I listen to the radio,4,31,13,,
Messenger,2,8,4,,
Imo,1,6,,,
Usagiri,,1,,,
Viber,,1,,,
