Country of origin,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
Congo,0.4931506849315068,0.5454545454545454,0.3541666666666667,,1.0
Burundi,0.5068493150684932,0.45454545454545453,0.6458333333333334,1.0,
