14. What is your preferred language for listening to audio content messages?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
Kiswahili,0.7222222222222222,0.6609195402298851,0.4791666666666667,1.0,1.0
Kirundi,0.20833333333333334,0.08045977011494253,0.2916666666666667,,
French,0.027777777777777776,0.1839080459770115,0.14583333333333334,,
English,0.041666666666666664,0.07471264367816093,0.08333333333333333,,
