6. What kind of mobile phones do you use?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
Itel,42,71,22,1,1
Tecno,21,73,16,,
Vodafone,2,9,1,,
Nokia,2,5,3,,
Samsung,1,8,1,,
Other,1,4,2,,
Huawei,1,3,1,,
Halotel,1,2,,,
Lumitel,1,1,1,,
Motorola,1,,1,,
