"2. Are you a teacher, caregiver, or young adult ?","< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
Young adult,0.6666666666666666,,0.4413793103448276,0.3333333333333333
Caregiver,0.2463768115942029,1.0,0.32413793103448274,0.2222222222222222
Teacher,0.08695652173913043,,0.23448275862068965,0.4444444444444444
