Country of origin,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
Burundi,0.5942028985507246,,0.45774647887323944,0.16666666666666666
Congo,0.4057971014492754,1.0,0.5422535211267606,0.8333333333333334
