8. When do you use the phone?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
In the evening,0.35260115606936415,0.29815303430079154,0.22077922077922077,,0.3333333333333333
In the morning,0.23699421965317918,0.2612137203166227,0.12987012987012986,,0.3333333333333333
In the afternoon,0.24855491329479767,0.25065963060686014,0.12987012987012986,1.0,0.3333333333333333
All the time,0.05202312138728324,0.14511873350923482,0.38961038961038963,,
At lunchtime,0.10982658959537572,0.044854881266490766,0.12987012987012986,,
