4. Whose mobile phone  do you use?,Female,Male
I have my own mobile phone,0.8558558558558559,0.9526315789473684
I use my husband's phone,0.06306306306306306,
I use my mother's,0.036036036036036036,0.010526315789473684
I use my brother's or sister's phone,0.018018018018018018,0.015789473684210527
I use my friend's phone,0.018018018018018018,0.010526315789473684
I use my father's,0.009009009009009009,0.005263157894736842
I use a phone at a mobile money kiosk,,0.005263157894736842
