12. How easily can you read and write?,Burundi,Congo
It's very easy for me to read and write,0.9266666666666666,0.98
I cannot read or write,0.04666666666666667,0.013333333333333334
I can read and write but sometimes I struggle,0.013333333333333334,0.006666666666666667
I can read but I cannot write,0.013333333333333334,
