6. What kind of mobile phones do you use?,Burundi,Congo
Itel,0.43333333333333335,0.4866666666666667
Tecno,0.36666666666666664,0.36666666666666664
Vodafone,0.02666666666666667,0.05333333333333334
Nokia,0.05333333333333334,0.013333333333333334
Samsung,0.013333333333333334,0.05333333333333334
Other,0.04666666666666667,
Huawei,0.006666666666666667,0.02666666666666667
Halotel,0.02,
Lumitel,0.02,
Motorola,0.013333333333333334,
