5. What mobile network do you use?,Female,Male
Vodacom,0.4975124378109453,0.49002849002849
Halotel,0.21890547263681592,0.22507122507122507
Airtel,0.23383084577114427,0.19658119658119658
Tigo,0.04975124378109453,0.08831908831908832
