10. How do you access the internet?,Burundi,Congo
Using data (airtime) on my phone,0.5345911949685535,0.5408805031446541
I don't access the internet,0.4088050314465409,0.37735849056603776
Using wifi on my phone,0.05660377358490566,0.08176100628930817
