13. What is your preferred language for reading sms messages?,Caregiver,Teacher,Young adult
Kiswahili,0.5116279069767442,0.5272727272727272,0.7515527950310559
Kirundi,0.38372093023255816,0.12727272727272726,0.16770186335403728
English,0.05813953488372093,0.18181818181818182,0.055900621118012424
French,0.046511627906976744,0.16363636363636364,0.024844720496894408
