id	rate
CZ	100
EE	75
NL	70
SE	40
AT	
PL	35
BG	-10
DE	60
LV	10
HU	-5
ES	
RO	
GR	-5
SK	-10
LT	-15
DK	-30
IT	0
BE	-25
GB	0
FR	-320
