source,target,Score,MEPs,amendments,seats
ALDE,Article 13,-0.26,7,12,68
ALDE,Article 4,4.46,7,10,68
ECR,Article 13,-5.00,2,6,72
ECR,Article 4,0.00,2,2,72
EFDD,Article 13,10.00,1,1,41
ENF,Article 13,10.00,1,1,40
EPP,Article 13,-4.55,10,24,214
EPP,Article 4,-5.00,3,9,214
Greens–EFA,Article 13,3.75,3,5,51
Greens–EFA,Article 4,8.75,1,8,51
GUE-NGL,Article 13,10.00,1,1,52
GUE-NGL,Article 4,8.00,2,3,52
S&D,Article 13,-3.80,11,20,189
S&D,Article 4,-5.00,5,10,189
