Did you experience any difficulties reading or receiving these messages through your phone?,Female,Male
No difficulties,0.6666666666666666,0.6037735849056604
Yes,0.2777777777777778,0.33962264150943394
Didn't receive any messages,0.05555555555555555,0.05660377358490566
