Who did you share the messages with?,Percentage
Fellow teacher(s),0.7714285714285715
A friend,0.05714285714285714
My family,0.05714285714285714
I asked  only others and they were not interested because they didn't receive any message.,0.02857142857142857
My children,0.02857142857142857
 Husband,0.02857142857142857
Husband,0.02857142857142857
