Who did you share the messages with?,Percentage
Husband,0.3225806451612903
Neighbour,0.27419354838709675
Children,0.12903225806451613
Friend,0.11290322580645161
Sister,0.0967741935483871
Colleague,0.03225806451612903
Care taker,0.016129032258064516
Mother,0.016129032258064516
