Who was sending you these messages?,Burundi,Congo
Gloria,0.32432432432432434,0.42105263157894735
I don't know,0.32432432432432434,0.3684210526315789
A parent's magazine,0.13513513513513514,0.18421052631578946
An organization,0.16216216216216217,0.02631578947368421
Other,0.05405405405405406,
