Why did or didn't you call the number?,Percentage
Didn't know who it was,0.3870967741935484
No credit on phone,0.3225806451612903
Didn't think it was important,0.12903225806451613
To ask question,0.06451612903225806
Waited for more info,0.03225806451612903
No access to phone,0.03225806451612903
Did not get reply,0.03225806451612903
