What was your favorite kind of message?,Me directly,My husband
Games,0.3469387755102041,0.34615384615384615
Talking with children,0.2653061224489796,0.19230769230769232
Children's health,0.10204081632653061,0.2692307692307692
Brain games,0.10204081632653061,0.07692307692307693
On life and marriage,0.10204081632653061,
 Talking with children,0.02040816326530612,0.07692307692307693
No preference,0.04081632653061224,0.038461538461538464
Celebrity news,0.02040816326530612,
