Who was sending you these messages?,Me directly,My husband
Gloria,0.39215686274509803,0.36363636363636365
I don't know,0.29411764705882354,0.4090909090909091
A parent's magazine,0.17647058823529413,0.13636363636363635
An organization,0.09803921568627451,0.09090909090909091
Other,0.0392156862745098,
