Why did or didn't you call the number?,Me directly,My husband
Didn't know who it was,0.4444444444444444,0.3076923076923077
No credit on phone,0.3333333333333333,0.3076923076923077
Didn't think it was important,0.16666666666666666,0.07692307692307693
To ask question,0.05555555555555555,0.07692307692307693
Did not get reply,,0.07692307692307693
No access to phone,,0.07692307692307693
Waited for more info,,0.07692307692307693
