What were these messages about?,Burundi,Congo
Talking with children,0.42857142857142855,0.34285714285714286
Games,0.30952380952380953,0.3523809523809524
Brain games,0.16666666666666666,0.24761904761904763
Children's health,0.047619047619047616,0.047619047619047616
Celebrity news,0.047619047619047616,
Jokes,,0.009523809523809525
