Who did you share the messages with?,Me directly,My husband
Husband,0.30952380952380953,0.4117647058823529
Neighbour,0.21428571428571427,0.47058823529411764
Children,0.14285714285714285,0.058823529411764705
Friend,0.14285714285714285,0.058823529411764705
Sister,0.11904761904761904,
Colleague,0.047619047619047616,
Care taker,0.023809523809523808,
