What was your favorite kind of message?,Burundi,Congo
Games,0.2702702702702703,0.41025641025641024
Talking with children,0.1891891891891892,0.3076923076923077
Children's health,0.1891891891891892,0.1282051282051282
Brain games,0.10810810810810811,0.07692307692307693
On life and marriage,0.13513513513513514,
 Talking with children,,0.07692307692307693
No preference,0.08108108108108109,
Celebrity news,0.02702702702702703,
