4. Whose mobile phone  do you use?,Percentage
I have my own mobile phone,0.9169435215946844
I use my husband's phone,0.023255813953488372
I use my mother's,0.019933554817275746
I use my brother's or sister's phone,0.016611295681063124
I use my friend's phone,0.013289036544850499
I use my father's,0.006644518272425249
I use a phone at a mobile money kiosk,0.0033222591362126247
