6. What kind of mobile phones do you use?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
Itel,85,1,50,2
Tecno,33,,68,9
Vodafone,4,,5,3
Nokia,5,,5,
Samsung,2,,4,3
Other,2,,4,1
Huawei,1,,4,
Halotel,2,,1,
Lumitel,2,,1,
Motorola,2,,,
