4. Whose mobile phone  do you use?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
I have my own mobile phone,0.8478260869565217,0.5,0.9788732394366197,1.0
I use my husband's phone,0.036231884057971016,,0.014084507042253521,
I use my mother's,0.036231884057971016,,0.007042253521126761,
I use my brother's or sister's phone,0.036231884057971016,,,
I use my friend's phone,0.028985507246376812,,,
I use my father's,0.014492753623188406,,,
I use a phone at a mobile money kiosk,,0.5,,
