Sex,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
Male,0.5362318840579711,1.0,0.6830985915492958,0.8888888888888888
Female,0.463768115942029,,0.31690140845070425,0.1111111111111111
