13. What is your preferred language for reading sms messages?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
Kiswahili,0.6438356164383562,0.7085714285714285,0.4375,,1.0
Kirundi,0.3013698630136986,0.15428571428571428,0.3333333333333333,1.0,
English,0.0410958904109589,0.08571428571428572,0.08333333333333333,,
French,0.0136986301369863,0.05142857142857143,0.14583333333333334,,
