8. When do you use the phone?,Burundi,Congo
In the evening,0.3026315789473684,0.30303030303030304
In the morning,0.24013157894736842,0.23636363636363636
In the afternoon,0.24013157894736842,0.23333333333333334
All the time,0.14802631578947367,0.15151515151515152
At lunchtime,0.06907894736842106,0.07575757575757576
