8. When do you use the phone?,Female,Male
In the evening,0.3177966101694915,0.29396984924623115
In the morning,0.23728813559322035,0.23869346733668342
In the afternoon,0.25,0.228643216080402
All the time,0.11864406779661017,0.16834170854271358
At lunchtime,0.07627118644067797,0.07035175879396985
