10. How do you access the internet?,Female,Male
Using data (airtime) on my phone,0.42857142857142855,0.6030150753768844
I don't access the internet,0.48739495798319327,0.33668341708542715
Using wifi on my phone,0.08403361344537816,0.06030150753768844
