14. What is your preferred language for listening to audio content messages?,Burundi,Congo
Kiswahili,0.4897959183673469,0.8
Kirundi,0.29931972789115646,
French,0.10884353741496598,0.16666666666666666
English,0.10204081632653061,0.03333333333333333
