13. What is your preferred language for reading sms messages?,Female,Male
Kiswahili,0.6306306306306306,0.6542553191489362
Kirundi,0.3063063063063063,0.17553191489361702
English,0.02702702702702703,0.10106382978723404
French,0.036036036036036036,0.06914893617021277
