4. Whose mobile phone  do you use?,Caregiver,Teacher,Young adult
I have my own mobile phone,0.8620689655172413,1.0,0.9197530864197531
I use my husband's phone,0.034482758620689655,,0.024691358024691357
I use my mother's,0.034482758620689655,,0.018518518518518517
I use my brother's or sister's phone,0.034482758620689655,,0.012345679012345678
I use my friend's phone,0.022988505747126436,,0.012345679012345678
I use my father's,,,0.012345679012345678
I use a phone at a mobile money kiosk,0.011494252873563218,,
