3. How often do you use a mobile phone?,Female,Male
More than 10 times a day,0.4954954954954955,0.6436170212765957
A few times a day,0.36936936936936937,0.1702127659574468
Once a day,0.13513513513513514,0.17553191489361702
Once a week,,0.005319148936170213
Once every few days,,0.005319148936170213
