10. How do you access the internet?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
Using data (airtime) on my phone,0.24675324675324675,0.7457627118644068,0.3114754098360656,1.0,
I don't access the internet,0.6753246753246753,0.24858757062146894,0.4426229508196721,,1.0
Using wifi on my phone,0.07792207792207792,0.005649717514124294,0.2459016393442623,,
