"2. Are you a teacher, caregiver, or young adult ?",Burundi,Congo
Young adult,0.5032679738562091,0.5666666666666667
Caregiver,0.3202614379084967,0.24666666666666667
Teacher,0.17647058823529413,0.18666666666666668
