14. What is your preferred language for listening to audio content messages?,Female,Male
Kiswahili,0.6818181818181818,0.6256684491978609
Kirundi,0.16363636363636364,0.13903743315508021
French,0.10909090909090909,0.15508021390374332
English,0.045454545454545456,0.08021390374331551
