7. What do you use the phone for?,Female,Male
I make calls,104,186
I send text messages,104,184
I receive text messages,102,177
I listen to music,68,145
I use Facebook,39,118
I use WhatsApp,34,80
I use the internet,25,60
I use Google,14,40
I play games,9,42
I listen to the radio,10,39
Messenger,2,12
Imo,,7
Usagiri,,1
Viber,,1
