"11. Do you use your mobile to send or receive money, through?",Female,Male
"Yes, often",0.6,0.6931216931216931
Only sometimes,0.15454545454545454,0.10052910052910052
"I have done it before, but not often",,0.015873015873015872
I never use mobile money,0.24545454545454545,0.19047619047619047
