9. How much do you spend on airtime every week? (numerical),Female,Male
"TZS 5,000 >",0.018018018018018018,0.0851063829787234
"TZS 1,000 - 5,000",0.40540540540540543,0.5159574468085106
"< TZS 1,000",0.5765765765765766,0.39361702127659576
TZS 0,,0.005319148936170213
