7. What do you use the phone for?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
I make calls,133,,138,18
I send text messages,128,1,140,18
I receive text messages,121,1,138,18
I listen to music,85,,111,16
I use Facebook,37,1,104,14
I use WhatsApp,11,,88,14
I use the internet,17,,57,10
I use Google,8,,36,9
I play games,12,,33,5
I listen to the radio,14,,24,10
Messenger,,,11,3
Imo,,,6,1
Usagiri,,,,1
Viber,,,1,
