7. What do you use the phone for?,Burundi,Congo
I make calls,148,142
I send text messages,140,148
I receive text messages,133,146
I listen to music,93,120
I use Facebook,76,81
I use WhatsApp,47,67
I use the internet,34,51
I use Google,27,27
I play games,30,21
I listen to the radio,21,28
Messenger,9,5
Imo,3,4
Usagiri,,1
Viber,,1
