13. What is your preferred language for reading sms messages?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
Kiswahili,0.5912408759124088,1.0,0.6830985915492958,0.7222222222222222
Kirundi,0.30656934306569344,,0.16901408450704225,0.05555555555555555
English,0.072992700729927,,0.06338028169014084,0.16666666666666666
French,0.029197080291970802,,0.08450704225352113,0.05555555555555555
