8. When do you use the phone?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
In the evening,0.34185303514376997,,0.27586206896551724,0.1724137931034483
In the morning,0.26198083067092653,,0.22413793103448276,0.13793103448275862
In the afternoon,0.25559105431309903,,0.22413793103448276,0.1724137931034483
All the time,0.0670926517571885,1.0,0.20689655172413793,0.41379310344827586
At lunchtime,0.07348242811501597,,0.06896551724137931,0.10344827586206896
