9. How much do you spend on airtime every week? (numerical),Caregiver,Teacher,Young adult
"TZS 5,000 >",0.046511627906976744,0.14814814814814814,0.037037037037037035
"TZS 1,000 - 5,000",0.5465116279069767,0.6296296296296297,0.3950617283950617
"< TZS 1,000",0.3953488372093023,0.2222222222222222,0.5679012345679012
TZS 0,0.011627906976744186,,
