"11. Do you use your mobile to send or receive money, through?",Burundi,Congo
"Yes, often",0.56,0.7583892617449665
Only sometimes,0.1,0.14093959731543623
"I have done it before, but not often",0.013333333333333334,0.006711409395973154
I never use mobile money,0.32666666666666666,0.09395973154362416
