5. What mobile network do you use?,Burundi,Congo
Vodacom,0.5654008438818565,0.4380952380952381
Halotel,0.18565400843881857,0.2507936507936508
Airtel,0.1729957805907173,0.23809523809523808
Tigo,0.0759493670886076,0.07301587301587302
