5. What mobile network do you use?,Caregiver,Teacher,Young adult
Vodacom,0.5,0.44545454545454544,0.512280701754386
Halotel,0.14375,0.24545454545454545,0.256140350877193
Airtel,0.28125,0.23636363636363636,0.15789473684210525
Tigo,0.075,0.07272727272727272,0.07368421052631578
